Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Joel Ward (11831306),Joel Ward,11831306,D/UTIL,3500,MCI vs CRY 10:00AM ET,CRY,3.12
M,Felix Nmecha (11831611),Felix Nmecha,11831611,M/UTIL,3500,MCI vs CRY 10:00AM ET,MCI,0
M,Max Meyer (11831613),Max Meyer,11831613,M/UTIL,3500,MCI vs CRY 10:00AM ET,CRY,4.64
D,Maxime Le Marchand (11831312),Maxime Le Marchand,11831312,D/UTIL,3500,NEW vs FUL 10:00AM ET,FUL,3.96
M,Tom Cleverley (11831615),Tom Cleverley,11831615,M/UTIL,3500,WHU vs WAT 10:00AM ET,WAT,2
F,Andriy Yarmolenko (11831914),Andriy Yarmolenko,11831914,F/UTIL,3500,WHU vs WAT 10:00AM ET,WHU,4.72
M,Lewis Cook (11831635),Lewis Cook,11831635,M/UTIL,3400,BOU vs BHA 10:00AM ET,BOU,1.35
M,Beram Kayal (11831637),Beram Kayal,11831637,M/UTIL,3400,BOU vs BHA 10:00AM ET,BHA,3.75
D,Joe Bennett (11831326),Joe Bennett,11831326,D/UTIL,3400,CAR vs MU 12:30PM ET,CAR,5.65
M,Scott McTominay (11831621),Scott McTominay,11831621,M/UTIL,3400,CAR vs MU 12:30PM ET,MU,2.38
M,Joe Ralls (11831643),Joe Ralls,11831643,M/UTIL,3400,CAR vs MU 12:30PM ET,CAR,3.81
D,Gary Cahill (11831314),Gary Cahill,11831314,D/UTIL,3400,CHE vs LEI 10:00AM ET,CHE,0
D,Harry Maguire (11831318),Harry Maguire,11831318,D/UTIL,3400,CHE vs LEI 10:00AM ET,LEI,5.58
M,Rachid Ghezzal (11831625),Rachid Ghezzal,11831625,M/UTIL,3400,CHE vs LEI 10:00AM ET,LEI,4.41
D,Jannik Vestergaard (11831320),Jannik Vestergaard,11831320,D/UTIL,3400,HUD vs SOU 10:00AM ET,SOU,3.33
M,Jonathan Hogg (11831639),Jonathan Hogg,11831639,M/UTIL,3400,HUD vs SOU 10:00AM ET,HUD,3.77
D,Eliaquim Mangala (11831316),Eliaquim Mangala,11831316,D/UTIL,3400,MCI vs CRY 10:00AM ET,MCI,0
M,James McArthur (11831631),James McArthur,11831631,M/UTIL,3400,MCI vs CRY 10:00AM ET,CRY,4.91
M,Mohamed Diame (11831623),Mohamed Diame,11831623,M/UTIL,3400,NEW vs FUL 10:00AM ET,NEW,3.10
M,Tom Cairney (11831641),Tom Cairney,11831641,M/UTIL,3400,NEW vs FUL 10:00AM ET,FUL,3.25
D,Issa Diop (11831322),Issa Diop,11831322,D/UTIL,3400,WHU vs WAT 10:00AM ET,WHU,3.3
D,Marvin Zeegelaar (11831324),Marvin Zeegelaar,11831324,D/UTIL,3400,WHU vs WAT 10:00AM ET,WAT,0
M,Jack Wilshere (11831627),Jack Wilshere,11831627,M/UTIL,3400,WHU vs WAT 10:00AM ET,WHU,4.2
M,Declan Rice (11831629),Declan Rice,11831629,M/UTIL,3400,WHU vs WAT 10:00AM ET,WHU,2.93
M,Will Hughes (11831633),Will Hughes,11831633,M/UTIL,3400,WHU vs WAT 10:00AM ET,WAT,5.48
D,Steve Cook (11831336),Steve Cook,11831336,D/UTIL,3300,BOU vs BHA 10:00AM ET,BOU,4.52
